review_id,product_id,product_name,brand,marketplace,source_url,raw_text,rating,review_date,review_title,reviewer_name,scraped_at
flipkart_833e6a4fc86bb0748586,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM,Very nice phone,5.0,,Very nice phone,,2026-05-10T09:49:55+00:00
flipkart_c8cfd3c59c386af686c5,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM,Helpful for 66,1,,Helpful for 66,,2026-05-10T09:49:55+00:00
flipkart_0f64dcb74c4a67c53d62,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM,Verified Purchase,1,,· 1 month ago,,2026-05-10T09:49:55+00:00
flipkart_21aa36e667996d069b22,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM,This phone good warking battery in a long time use my be 1 full day,5.0,,This phone good warking battery in a long time use my be 1 full day,,2026-05-10T09:49:55+00:00
flipkart_d2e52eb0b41543b0704b,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM,This phone good warking battery in a long time use my be 1 full day,1,,This phone good warking battery in a long time use my be 1 full day,,2026-05-10T09:49:55+00:00
flipkart_35ec9fbd171f83431a19,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM,Helpful for 30,1,,Helpful for 30,,2026-05-10T09:49:55+00:00
flipkart_534f9f060730b5352537,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM,excellent product,5.0,,Best in the market!,,2026-05-10T09:49:55+00:00
flipkart_9ec1296cb19aa2c3d624,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM,Helpful for 3,3,,Helpful for 3,,2026-05-10T09:49:55+00:00
flipkart_cb58e7667114f724ceb5,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM,Best Phone Iqoo z11x This value for money All Good,5.0,,Excellent,,2026-05-10T09:49:55+00:00
flipkart_54bb300bcc086c6e2fb4,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM,Helpful for 9,3,,Helpful for 9,,2026-05-10T09:49:55+00:00
flipkart_1e9f399b67b7c05f4f66,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM,Best phone but need more good looking with the design,5.0,,Best phone but need more good looking with the design,,2026-05-10T09:49:55+00:00
flipkart_4beeab0a419d95d3b41a,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM,Helpful for 7,2,,Helpful for 7,,2026-05-10T09:49:55+00:00
flipkart_4391b4939c374fcfd064,iqoo_z_11x_5g,iQOO Z11x 5G,iQOO,flipkart,https://www.flipkart.com/iqoo-z11x-5g-prismatic-green-128-gb/product-reviews/itm8278ba39f21e3?pid=MOBHHHHGXWGFFYPM,Very good mobile,5.0,,Very good mobile,,2026-05-10T09:49:55+00:00
