review_id,product_id,product_name,brand,marketplace,source_url,raw_text,rating,review_date,review_title,reviewer_name,scraped_at
flipkart_fa0c5ceb141867221523,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC,Best Camera in low segment.,5.0,,Excellent,,2026-05-09T22:19:58+00:00
flipkart_aa91dcbdd94dea574a81,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC,I didn't expect this phone to be this good because I thought that it would be an average phone. But this is really good in the low budget category. And its camera is better than decent in the given pr...,4.0,,Helpful for,,2026-05-09T22:19:58+00:00
flipkart_e36e7827bfdadff05bf3,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC,Helpful for,4.0,,Infinix note50x model beast,,2026-05-09T22:19:58+00:00
flipkart_79a2b069e0f1d4fbbcd4,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC,Very Good Product,5.0,,Very Good Product,,2026-05-09T22:19:58+00:00
flipkart_66eb34651f2a1af90539,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC,Dont get into people who are writing negative about the phone the phone ia really a killer phone in the price range i recommended everyone to purchase the smartphone,5.0,,Helpful for,,2026-05-09T22:19:58+00:00
flipkart_be03fcc3a88d8cc5feb2,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC,Display resolution very bad during watching videos,5.0,,Average camera,,2026-05-09T22:19:58+00:00
flipkart_493ebabd2f39bf8bd263,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC,"Batter is good , performance is also very good camera is decent , and display also good",5.0,,Overall best phone in the segment for gamers and normal users,,2026-05-09T22:19:58+00:00
flipkart_3b7828e6eb68e5f44916,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC,Helpful for,4,,Helpful for,,2026-05-09T22:19:58+00:00
flipkart_ee34c7834f9a33390f2e,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC,Uses friendly and good to budget. Light heating issues. Battery backup excellent,4.0,,Uses friendly and good to budget. Light heating issues. Battery backup excellent,,2026-05-09T22:19:58+00:00
flipkart_0110b07580692f564023,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC,"Best Infinix Note 50x5G+📱, very nice 💜📱💜👌 review from Vidya 🥰👍",5.0,,"Best Infinix Note 50x5G+📱, very nice 💜📱💜👌 review from Vidya 🥰👍",,2026-05-09T22:19:58+00:00
flipkart_89600a46660829ff9f88,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC,Helpful for,1,,Helpful for,,2026-05-09T22:19:58+00:00
flipkart_09b6eb52889a4c46075f,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC,Helpful for,5.0,,Nice phone,,2026-05-09T22:19:58+00:00
flipkart_b806e7862581c8bd5afb,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC,Helpful for,2,,Helpful for,,2026-05-09T22:19:58+00:00
